task_id,instance_id,region,arm,charge_timing_policy,seed,view,improvement_sequence,iteration,global_iteration,objective_before,objective_after,improvement_absolute,improvement_relative,objective_type
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,cv_only,1,1,1,9223372036854775807,3351702,9223372036851424105,0.9999999999996366,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,cv_only,2,4,4,3351702,2528651,823051,0.24556210546164306,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,cv_only,3,12,12,2528651,2474691,53960,0.021339441465034123,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,cv_only,4,83,83,2474691,2471448,3243,0.0013104666400774886,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,cv_only,5,97,97,2471448,2430912,40536,0.016401720772599708,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,cv_only,6,102,102,2430912,2425007,5905,0.002429129478977437,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,cv_only,7,154,154,2425007,2415449,9558,0.0039414319216398135,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,cv_only,8,324,324,2415449,2406923,8526,0.0035297785215088373,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,cv_only,9,1214,1214,2406923,2402992,3931,0.0016332055491596533,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,cv_only,10,1268,1268,2402992,2401917,1075,0.0004473589591642419,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,cv_only,11,1343,1343,2401917,2392419,9498,0.003954341469751037,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,cv_only,12,1552,1552,2392419,2387142,5277,0.002205717309551546,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,cv_only,13,1801,1801,2387142,2385298,1844,0.0007724718512765475,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,cv_only,14,2312,2312,2385298,2376120,9178,0.0038477372638555016,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,cv_only,15,2343,2343,2376120,2375815,305,0.00012836052051243204,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,cv_only,16,4718,4718,2375815,2374691,1124,0.0004731008096169104,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,naive_ev,1,2,6002,9223372036854775807,3914429,9223372036850861378,0.9999999999995756,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,naive_ev,2,7,6007,3914429,2161803,1752626,0.4477347781758208,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,naive_ev,3,18,6018,2161803,2051808,109995,0.05088113949328408,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,naive_ev,4,28,6028,2051808,2046800,5008,0.0024407741854988382,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,naive_ev,5,41,6041,2046800,1997882,48918,0.023899745944889583,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,naive_ev,6,90,6090,1997882,1989942,7940,0.003974208686999533,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,naive_ev,7,107,6107,1989942,1968099,21843,0.010976701833520775,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,naive_ev,8,285,6285,1968099,1944647,23452,0.011916067230357822,PyVRP integer proxy objective
